provinceName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,submission_date
HB,349,0,339,6,2020/7/9
HB,349,0,340,6,2020/7/15
HB,349,0,341,6,2020/7/19
HB,349,0,342,6,2020/7/22
HB,349,0,343,6,2020/7/27
HB,350,0,343,6,2020/8/11
HB,351,0,343,6,2020/8/13
HB,354,0,343,6,2020/8/22
HB,359,0,343,6,2020/8/23
HB,360,0,343,6,2020/8/25
HB,362,0,343,6,2020/8/27
HB,365,0,346,6,2020/9/1
HB,365,0,347,6,2020/9/3
HB,365,0,354,6,2020/9/5
HB,365,0,355,6,2020/9/8
HB,365,0,356,6,2020/9/14
HB,365,0,357,6,2020/9/22
HB,365,0,358,6,2020/9/28
HB,367,0,358,6,2020/10/12
HB,368,0,358,6,2020/10/15
HB,368,0,359,6,2020/10/23
HB,369,0,359,6,2020/10/26
HB,371,0,359,6,2020/10/27
HB,372,0,359,6,2020/10/28
HB,373,0,359,6,2020/10/31
HB,373,0,360,6,2020/11/3
HB,373,0,361,6,2020/11/8
HB,373,0,362,6,2020/11/14
HB,373,0,363,6,2020/11/17
HB,373,0,365,6,2020/11/23
HB,373,0,366,6,2020/11/24
HB,373,0,367,6,2020/12/9
LN,2,0,0,0,2020/1/22
LN,0,1,0,0,2020/1/22
LN,3,0,0,0,2020/1/23
LN,4,0,0,0,2020/1/24
LN,3,0,0,0,2020/1/24
LN,16,0,0,0,2020/1/25
LN,15,0,0,0,2020/1/25
LN,12,0,0,0,2020/1/25
LN,21,0,0,0,2020/1/26
LN,19,0,0,0,2020/1/26
LN,18,0,0,0,2020/1/26
LN,17,0,0,0,2020/1/26
LN,27,0,0,0,2020/1/27
LN,24,0,0,0,2020/1/27
LN,23,0,0,0,2020/1/27
LN,22,0,0,0,2020/1/27
LN,34,0,0,0,2020/1/28
LN,30,0,0,0,2020/1/28
LN,39,0,1,0,2020/1/29
LN,39,0,0,0,2020/1/29
LN,38,0,0,0,2020/1/29
LN,37,0,0,0,2020/1/29
LN,36,0,0,0,2020/1/29
LN,41,0,1,0,2020/1/30
LN,48,0,1,0,2020/1/31
LN,45,0,1,0,2020/1/31
LN,64,0,1,0,2020/2/1
LN,63,0,1,0,2020/2/1
LN,60,0,1,0,2020/2/1
LN,70,0,1,0,2020/2/2
LN,69,0,1,0,2020/2/2
LN,64,0,1,0,2020/2/2
LN,74,0,1,0,2020/2/3
LN,73,0,1,0,2020/2/3
LN,81,0,2,0,2020/2/4
LN,77,0,2,0,2020/2/4
LN,77,0,1,0,2020/2/4
LN,89,0,4,0,2020/2/5
LN,88,0,4,0,2020/2/5
LN,88,0,3,0,2020/2/5
LN,81,0,3,0,2020/2/5
LN,94,0,5,0,2020/2/6
LN,91,0,5,0,2020/2/6
LN,91,0,4,0,2020/2/6
LN,99,0,7,0,2020/2/7
LN,96,0,7,0,2020/2/7
LN,95,0,7,0,2020/2/7
LN,95,0,6,0,2020/2/7
LN,94,0,6,0,2020/2/7
LN,105,0,8,0,2020/2/8
LN,103,0,8,0,2020/2/8
LN,103,0,7,0,2020/2/8
LN,107,0,12,0,2020/2/9
LN,106,0,12,0,2020/2/9
LN,106,0,11,0,2020/2/9
LN,105,0,12,0,2020/2/9
LN,105,0,11,0,2020/2/9
LN,105,0,9,0,2020/2/9
LN,108,0,13,0,2020/2/10
LN,108,0,12,0,2020/2/10
LN,111,0,19,0,2020/2/11
LN,111,0,18,0,2020/2/11
LN,108,0,17,0,2020/2/11
LN,108,0,16,0,2020/2/11
LN,116,0,20,1,2020/2/12
LN,116,0,20,0,2020/2/12
LN,116,0,19,0,2020/2/12
LN,117,0,22,1,2020/2/13
LN,116,0,22,1,2020/2/13
LN,116,0,21,1,2020/2/13
LN,116,0,20,1,2020/2/13
LN,119,0,29,1,2020/2/14
LN,117,0,29,1,2020/2/14
LN,117,0,24,1,2020/2/14
LN,119,0,31,1,2020/2/15
LN,119,0,30,1,2020/2/15
LN,121,0,40,1,2020/2/16
LN,121,0,35,1,2020/2/16
LN,120,0,35,1,2020/2/16
LN,121,0,43,1,2020/2/17
LN,121,0,41,1,2020/2/17
LN,121,0,53,1,2020/2/18
LN,121,0,49,1,2020/2/18
LN,121,0,46,1,2020/2/18
LN,121,0,45,1,2020/2/18
LN,121,0,55,1,2020/2/19
LN,121,0,59,1,2020/2/20
LN,121,0,58,1,2020/2/20
LN,121,0,61,1,2020/2/21
LN,121,0,66,1,2020/2/22
LN,121,0,73,1,2020/2/23
LN,121,0,81,1,2020/2/23
LN,121,0,68,1,2020/2/23
LN,121,0,80,1,2020/2/24
LN,121,0,74,1,2020/2/24
LN,121,0,83,1,2020/2/25
LN,121,0,88,1,2020/2/26
LN,121,0,93,1,2020/2/27
LN,121,0,92,1,2020/2/27
LN,121,0,96,1,2020/2/29
LN,121,0,95,1,2020/2/29
LN,122,0,103,1,2020/3/1
LN,122,0,102,1,2020/3/1
LN,122,0,101,1,2020/3/1
LN,122,0,103,1,2020/3/2
LN,125,0,106,1,2020/3/3
LN,125,0,105,1,2020/3/3
LN,125,0,104,1,2020/3/3
LN,125,0,103,1,2020/3/3
LN,125,0,107,1,2020/3/7
LN,125,0,109,1,2020/3/8
LN,125,0,108,1,2020/3/8
LN,125,0,111,1,2020/3/10
